1#风箱负压,CO浓度_mg_m3
-11.789,3422.309
-11.757,3430.628
-11.566,3525.029
-11.447,3563.73
-11.5,3635.706
-11.496,3649.088
-11.655,3616.175
-11.785,3563.73
-11.957,3612.196
-12.08,3532.625
-12.071,3501.881
-11.963,3472.584
-11.883,3450.882
-11.883,3453.415
-11.893,3461.01
-11.896,3364.8
-11.829,3296.441
-11.651,3308.015
-11.42,3315.972
-11.346,3348.886
-11.428,3346.354
-11.58,3284.867
-11.688,3193.721
-11.722,3190.104
-11.688,3193.359
-11.618,3242.549
-11.457,3280.165
-11.367,3311.632
-11.4,3376.736
-11.487,3399.161
-11.796,3407.118
-11.913,3505.859
-11.857,3608.579
-11.816,3639.323
-11.818,3673.683
-11.82,3631.366
-11.9,3578.921
-11.928,3468.244
-11.908,3368.779
-11.967,3361.183
-12.051,3379.992
-12.051,3449.074
-11.953,3498.264
-11.875,3391.927
-11.845,3308.015
-11.812,3246.528
-11.886,3250.145
-11.929,3257.74
-11.967,3315.972
-12.153,3327.546
-12.33,3292.463
-12.401,3296.441
-12.414,3269.314
-12.332,3319.951
-12.181,3296.441
-11.956,3422.309
-11.759,3407.118
-11.472,3383.608
-11.506,3220.486
-11.539,3193.721
-11.573,3151.403
-11.58,3174.19
-11.58,3094.618
-11.633,3090.278
-11.647,3044.705
-11.715,3044.705
-11.76,3079.065
-11.769,3098.959
-11.725,3158.637
-11.751,3170.573
-11.655,3292.463
-11.853,3350.333
-11.915,3501.881
-12.127,3532.625
-12.371,3483.435
-12.475,3388.672
-11.91,3304.398
-11.815,3224.465
-11.651,3196.615
-11.51,3162.977
-11.336,2663.846
-11.305,1125.217
-11.439,3096.065
-11.507,3276.91
-11.613,3261.719
-11.67,3242.911
-11.637,3350.333
-11.532,3421.947
-11.511,3391.927
-11.533,3373.119
-11.542,3273.655
-11.476,3193.721
-11.353,3242.549
-11.364,3331.163
-11.233,3461.01
-11.22,3525.029
-11.194,3563.73
-11.265,3574.942
-11.259,3501.881
-11.346,3461.01
-11.306,3697.193
-11.265,3586.878
-11.368,3536.242
-11.383,3464.989
-11.342,3532.625
-11.342,3556.135
-11.437,3505.859
-11.62,3449.436
-11.733,3414.713
-11.662,3479.456
-11.641,3517.433
-11.521,3490.669
